period,source item,cost,source
2019-08,INSIGHTSRE,8036,Swisscom
2019-01,DNA,1273,Swisscom
2019-04,DSW,4421,Swisscom
2019-01,INSIGHTSRE,12,Swisscom
2019-08,SISLAB,40,Swisscom
2019-01,SAMS,6,Swisscom
2019-03,GEORE1,2,Azure
2019-08,SISLAB,0,Azure
2019-03,GEORE1,12,Azure
2019-05,SISLAB,1,Azure
2019-01,SISLAB,0,Azure
2019-04,GEORE1,21,Azure
2019-07,SISLAB,15,Azure
2019-04,TMA,0,Azure
2019-09,PYTHIA,0,Azure
2019-05,PYTHIA,1349,Group Technology Management
2019-09,PYTHIA,170,Group Technology Management
2019-09,OCR,170,Group Technology Management
2019-02,DATAROBOT,170,Group Technology Management
2019-04,SAMS,550,Group Technology Management
2018-06,TMA,32204,Utilization
2018-10,DSW,9908,Utilization
2018-02,TMA,4087,Utilization
2017-01,TMA,9661,Utilization
2019-04,INSIGHTSRE,4015,Utilization
2018-01,DSW,19626,Utilization
2017-01,DNA,0,Utilization
2018-11,DSW,0,Utilization
2018-05,DOCSEARCH,0,Utilization
2018-09,SAMS,644,Utilization
2019-08,SAMS,41,Utilization
2019-02,DSW,3896,Swisscom
2019-03,INSIGHTSRE,263,Swisscom
2019-07,SAMS,11,Swisscom
2019-02,SISLAB,170,Group Technology Management
2019-06,SAMS,170,Group Technology Management
2019-09,LHTI,170,Group Technology Management
2019-02,BCHART,170,Group Technology Management
2019-08,SISLAB,170,Group Technology Management
2019-04,GEORE1,170,Group Technology Management
2019-01,TMA,1871,Group Technology Management
2019-01,PYTHIA,1516,Group Technology Management
2019-08,INSIGHTSRE,89,Group Technology Management
2019-07,SISLAB,0,Azure
2019-08,SISLAB,17,Azure
2019-04,SISLAB,20,Azure
2019-08,SISLAB,2,Azure
2019-02,DNA,170,Group Technology Management
2019-03,DNA,170,Group Technology Management
2019-01,GEORE1,170,Group Technology Management
2019-02,SISLAB,264,Group Digital & Information Services
2019-07,DSC,1,Group Technology Management
2019-05,GEORE1,18,Azure
2019-07,SISLAB,33,Azure
2019-05,SISLAB,47,Azure
2019-01,GEORE1,167,Azure
2019-06,SISLAB,0,Azure
2019-07,SISLAB,1,Azure
2019-01,SISLAB,112,Azure
2018-02,DSW,15871,Utilization
2018-07,INSIGHTSRE,1955,Utilization
2019-03,DNA,1671,Utilization
2017-12,DNA,1288,Utilization
2019-09,TMA,28,Swisscom
2019-01,DSC,0,Swisscom
2019-04,DSC,3860,Swisscom
2019-05,SAMS,18,Swisscom
2019-06,SAMS,76,Swisscom
2018-12,DSW,4644,Utilization
2018-10,INSIGHTSRE,13365,Utilization
2017-10,TMA,2444,Utilization
2019-06,DSW,0,Utilization
2018-08,PYTHIA,978,Utilization
2018-03,SAMS,644,Utilization
2019-05,GEORE1,4,Azure
2019-08,PYTHIA,0,Azure
2019-03,GEORE1,0,Azure
2019-01,SISLAB,16,Azure
2019-04,GEORE1,0,Azure
2019-05,SISLAB,21,Azure
2019-03,INSIGHTSRE,2522,Group Technology Management
2019-09,TMA,917,Group Technology Management
2019-03,DOCSEARCH,170,Group Technology Management
2019-01,DOCSEARCH,170,Group Technology Management
2019-05,OCR,170,Group Technology Management
2019-03,SISLAB,188,Swisscom
2019-06,TMA,12,Swisscom
2019-03,PYTHIA,65,Swisscom
2019-07,INSIGHTSRE,4720,Swisscom
2019-07,DSW,1261,Swisscom
2019-04,DATAROBOT,1,Swisscom
2019-07,DSW,32,Swisscom
2019-06,DATAROBOT,411,Group Technology Management
2019-09,INSIGHTSRE,170,Group Technology Management
2019-02,SISLAB,170,Group Technology Management
2019-03,TMA,170,Group Technology Management
2019-06,SAMS,550,Group Technology Management
2019-04,DSW,3422,Utilization
2019-06,PYTHIA,4764,Utilization
2017-10,OCR,1522,Utilization
2019-03,GEORE1,5,Azure
2019-02,SISLAB,63,Azure
2019-05,SISLAB,0,Azure
2019-01,SISLAB,1,Azure
2019-07,SISLAB,30,Azure
2019-05,SISLAB,0,Azure
2019-07,SISLAB,0,Azure
2019-03,WATSONEXP,170,Group Technology Management
2019-01,DOCSEARCH,170,Group Technology Management
2019-09,TMA,170,Group Technology Management
2019-04,TMA,170,Group Technology Management
2019-09,VISREPBOXI,0,Group Technology Management
2019-06,SISLAB,102,Group Digital & Information Services
2018-04,DOCSEARCH,21416,Utilization
2019-06,DOCSEARCH,19322,Utilization
2018-04,OCR,1226,Utilization
2019-04,SAMS,483,Utilization
2019-09,GEORE1,0,Azure
2019-06,SISLAB,0,Azure
2019-07,SISLAB,49,Azure
2019-09,TMA,0,Azure
2019-01,GEORE1,67,Azure
2019-05,INSIGHTSRE,4710,Swisscom
2019-05,SISLAB,2155,Swisscom
2019-03,DSW,62,Swisscom
2019-09,INSIGHTSRE,11,Swisscom
2019-04,TMA,60,Swisscom
2019-06,TMA,39,Swisscom
2019-07,SISLAB,0,Azure
2019-05,SISLAB,0,Azure
2019-07,PYTHIA,0,Azure
2019-09,PYTHIA,0,Azure
2019-08,PYTHIA,0,Azure
2018-10,PYTHIA,1466,Utilization
2018-06,SAMS,483,Utilization
2019-07,PYTHIA,861,Swisscom
2019-09,DATAROBOT,170,Swisscom
2019-06,DSW,1835,Swisscom
2019-02,INSIGHTSRE,568,Swisscom
2019-04,DSW,146,Swisscom
2019-06,INSIGHTSRE,5161,Group Technology Management
2019-05,TMA,160,Group Technology Management
2019-04,VISREPBOXI,2146,Group Technology Management
2019-06,DNA,170,Group Technology Management
2019-09,SISLAB,170,Group Technology Management
2019-04,LHTI,55,Group Technology Management
2019-05,LHTI,55,Group Technology Management
2019-04,DATAROBOT,170,Group Technology Management
2019-06,SISLAB,18845,Group Technology Management
2019-08,INSIGHTSRE,1098,Group Technology Management
2019-06,DSW,170,Group Technology Management
2019-02,SISLAB,18492,Group Technology Management
2019-06,PYTHIA,1090,Group Technology Management
2019-01,SISLAB,339,Group Digital & Information Services
2019-08,SISLAB,28,Azure
2019-04,PYTHIA,0,Azure
2019-04,SISLAB,0,Azure
2019-03,GEORE1,0,Azure
2019-04,SISLAB,22,Azure
2018-05,DSW,5751,Utilization
2017-11,DNA,2254,Utilization
2019-02,DSW,2636,Utilization
2017-07,SAMS,644,Utilization
2019-06,DATAROBOT,1,Swisscom
2019-04,DSW,609,Swisscom
2019-07,SISLAB,2235,Swisscom
2019-04,SISLAB,1993,Swisscom
2019-06,DSW,433,Swisscom
2019-05,SAMS,78,Swisscom
2019-03,TMA,4,Azure
2019-01,PYTHIA,0,Azure
2019-03,SISLAB,1,Azure
2019-01,SISLAB,2,Azure
2019-08,SISLAB,0,Azure
2019-09,SISLAB,0,Azure
2019-09,SISLAB,2,Azure
2019-04,TMA,160,Group Technology Management
2019-05,DOCSEARCH,630,Group Technology Management
2019-07,TMA,45,Group Technology Management
2019-03,SAMS,77,Group Technology Management
2019-04,TMA,59,Group Technology Management
2019-09,SAMS,7,Swisscom
2019-01,PYTHIA,266,Swisscom
2019-03,TMA,51848,Utilization
2019-04,TMA,46052,Utilization
2018-06,DSW,20769,Utilization
2018-07,DSW,20674,Utilization
2018-12,DSW,4074,Utilization
2018-07,TMA,27051,Utilization
2018-01,OCR,13150,Utilization
2019-04,DSW,2933,Utilization
2018-03,INSIGHTSRE,978,Utilization
2019-06,GEORE1,14,Azure
2019-07,GEORE1,0,Azure
2019-09,SISLAB,5,Azure
2019-07,GEORE1,0,Azure
2019-06,SISLAB,46,Azure
2019-07,PYTHIA,179,Azure
2019-02,GEORE1,6,Azure
2019-05,INSIGHTSRE,13007,Swisscom
2019-04,DATAROBOT,574,Swisscom
2019-02,SAMS,71,Swisscom
2019-06,SISLAB,19,Swisscom
2019-05,DSW,4164,Group Technology Management
2019-05,OCR,170,Group Technology Management
2019-01,TMA,59,Group Technology Management
2019-09,SFILE,710,Group Technology Management
2019-02,OCR,277,Group Technology Management
2019-06,LHTI,170,Group Technology Management
2019-03,DSW,170,Group Technology Management
2019-09,DNA,170,Group Technology Management
2019-04,SAMS,77,Group Technology Management
2019-06,TMA,917,Group Technology Management
2019-04,SISLAB,0,Azure
2019-05,SISLAB,0,Azure
2019-07,SISLAB,0,Azure
2019-04,GEORE1,1,Azure
2019-09,TMA,0,Azure
2019-01,SISLAB,0,Azure
2017-01,TMA,2452,Utilization
2018-09,TMA,5277,Utilization
2017-11,DOCSEARCH,817,Utilization
2018-07,TMA,817,Utilization
2019-09,DSW,2,Swisscom
2019-05,INSIGHTSRE,330,Swisscom
2019-02,SAMS,1,Swisscom
2019-09,SISLAB,5,Swisscom
2019-05,TMA,23,Swisscom
2019-03,DOCPROXY,968,Swisscom
2019-01,DATAROBOT,1146,Swisscom
2019-03,INSIGHTSRE,5702,Swisscom
2019-01,DATAROBOT,308,Swisscom
2019-09,PYTHIA,1,Swisscom
2019-09,DSW,675,Swisscom
2019-09,SISLAB,0,Azure
2019-06,SISLAB,0,Azure
2019-06,SISLAB,12,Azure
2019-07,PYTHIA,0,Azure
2019-01,SISLAB,0,Azure
2019-06,GEORE1,3,Azure
2019-02,SISLAB,13,Azure
2017-12,TMA,18356,Utilization
2018-02,OCR,11303,Utilization
2018-08,PYTHIA,1955,Utilization
2018-07,PYTHIA,1955,Utilization
2019-03,PYTHIA,489,Utilization
2019-02,SAMS,644,Utilization
2019-05,DNA,170,Group Technology Management
2019-01,DATAROBOT,170,Group Technology Management
2019-03,DSW,7060,Group Technology Management
2019-05,LHTI,293,Swisscom
2019-03,SISLAB,15,Swisscom
2019-01,DSC,0,Swisscom
2019-09,SISLAB,0,Azure
2019-06,GEORE1,3,Azure
2019-08,SISLAB,0,Azure
2019-05,SISLAB,15,Azure
2019-01,SISLAB,0,Azure
2019-02,DSW,17149,Utilization
2019-02,DSW,3422,Utilization
2017-02,DOCSEARCH,6521,Utilization
2019-08,SISLAB,18845,Group Technology Management
2019-08,DNA,170,Group Technology Management
2019-02,SISLAB,710,Group Technology Management
2019-02,SISLAB,170,Group Technology Management
2019-02,SISLAB,170,Group Technology Management
2019-04,DATAROBOT,1570,Group Technology Management
2019-05,SISLAB,359,Group Digital & Information Services
2019-08,GEORE1,3,Azure
2019-08,GEORE1,0,Azure
2019-01,SISLAB,6,Azure
2019-09,GEORE1,16,Azure
2019-09,SISLAB,0,Azure
2017-11,TMA,3958,Utilization
2017-09,TMA,2639,Utilization
2019-01,DOCSEARCH,572,Utilization
2019-02,SAMS,117,Group Technology Management
2019-08,SISLAB,170,Group Technology Management
2019-04,PYTHIA,170,Group Technology Management
2019-03,WATSONEXP,170,Group Technology Management
2019-09,VISREPBOXI,2146,Group Technology Management
2019-04,TMA,1,Swisscom
2019-09,SISLAB,1962,Swisscom
2019-09,SISLAB,0,Azure
2019-02,GEORE1,0,Azure
2019-07,SISLAB,24,Azure
2019-06,SISLAB,14,Azure
2019-01,PYTHIA,173,Azure
2019-04,SISLAB,0,Azure
2019-06,TMA,142,Azure
2018-05,PYTHIA,1466,Utilization
2018-10,PYTHIA,3341,Utilization
2019-02,PYTHIA,1671,Utilization
2017-04,SAMS,644,Utilization
2019-08,SAMS,59,Swisscom
2019-05,DSW,1261,Swisscom
2019-02,INSIGHTSRE,1612,Swisscom
2019-08,INSIGHTSRE,94,Swisscom
2019-02,INSIGHTSRE,3345,Swisscom
2019-09,DNA,170,Group Technology Management
2019-09,DNA,170,Group Technology Management
2019-04,TMA,170,Group Technology Management
2019-04,WATSONEXP,170,Group Technology Management
2019-04,TMA,116,Group Technology Management
2019-09,DSC,1877,Group Technology Management
2019-09,DOCSEARCH,550,Group Technology Management
2019-02,SFILE,24,Group Technology Management
2019-02,DSW,170,Group Technology Management
2019-03,TMA,133,Group Technology Management
2019-08,SISLAB,68,Group Digital & Information Services
2019-05,SISLAB,4790,Group Technology Management
2017-02,OCR,10466,Utilization
2017-08,DSW,2444,Utilization
2018-12,TMA,5277,Utilization
2019-04,PYTHIA,3285,Utilization
2019-01,GEORE1,0,Azure
2019-05,GEORE1,2,Azure
2019-09,SISLAB,0,Azure
2019-07,SISLAB,0,Azure
2019-04,GEORE1,84,Azure
2019-04,SISLAB,104,Azure
2019-04,SAMS,66,Swisscom
2019-02,SISLAB,3,Swisscom
2019-01,TMA,42,Swisscom
2019-01,PYTHIA,50,Swisscom
2019-01,SAMS,117,Group Technology Management
2019-04,DNA,213,Group Technology Management
2019-03,INSIGHTSRE,170,Group Technology Management
2019-07,PYTHIA,170,Group Technology Management
2019-07,DNA,1272,Swisscom
2019-01,INSIGHTSRE,2967,Swisscom
2019-05,DSW,25,Swisscom
2017-01,DNA,20450,Utilization
2017-08,OCR,12498,Utilization
2018-12,DNA,8353,Utilization
2018-10,TMA,2639,Utilization
2019-07,SISLAB,0,Azure
2019-02,SISLAB,0,Azure
2019-06,SISLAB,0,Azure
2019-08,SISLAB,0,Azure
2019-01,SISLAB,19,Azure
2019-06,PYTHIA,0,Azure
2019-03,SISLAB,24,Azure
2019-09,TMA,0,Azure
2017-06,OCR,10325,Utilization
2019-01,INSIGHTSRE,8353,Utilization
2017-03,DOCSEARCH,4347,Utilization
2019-06,INSIGHTSRE,6682,Utilization
2018-12,DOCSEARCH,817,Utilization
2019-06,SISLAB,710,Group Technology Management
2019-06,TMA,170,Group Technology Management
2019-08,SISLAB,170,Group Technology Management
2019-05,TMA,170,Group Technology Management
2019-09,TMA,47,Group Technology Management
2019-02,INSIGHTSRE,4681,Swisscom
2019-05,TMA,82,Swisscom
2019-04,DSW,31,Swisscom
2019-03,TMA,6,Swisscom
2019-07,PYTHIA,196,Swisscom
2019-03,SISLAB,2,Azure
2019-09,TMA,1,Azure
2019-07,SISLAB,60,Azure
2019-09,GEORE1,0,Azure
2019-02,SISLAB,43,Azure
2019-04,SISLAB,0,Azure
2019-09,GEORE1,4,Azure
2019-01,GEORE1,0,Azure
2019-09,GEORE1,0,Azure
2019-06,SISLAB,2,Azure
2019-06,SISLAB,5,Azure
2019-03,TMA,0,Swisscom
2019-04,PYTHIA,295,Swisscom
2019-02,DATAROBOT,475,Swisscom
2019-06,SISLAB,15,Swisscom
2019-03,DSC,23,Swisscom
2019-03,SISLAB,6,Swisscom
2019-04,TMA,247,Swisscom
2019-04,SISLAB,19,Swisscom
2019-03,PYTHIA,170,Group Technology Management
2019-09,TMA,47,Group Technology Management
2018-05,INSIGHTSRE,4954,Utilization
2019-04,INSIGHTSRE,2174,Utilization
2019-04,TMA,2639,Utilization
2017-09,DSW,1671,Utilization
2019-05,GEORE1,0,Azure
2019-08,PYTHIA,173,Azure
2019-07,SISLAB,0,Azure
2019-07,SISLAB,46,Azure
2019-08,PYTHIA,0,Azure
2019-01,GEORE1,0,Azure
2019-07,SISLAB,170,Group Technology Management
2019-01,WATSONEXP,170,Group Technology Management
2019-06,OCR,943,Group Technology Management
2019-01,TMA,8,Swisscom
2019-09,DSW,246,Swisscom
2019-07,INSIGHTSRE,8955,Swisscom
2019-03,SISLAB,20,Swisscom
2018-08,PYTHIA,5012,Utilization
2019-09,DSW,0,Utilization
2019-05,GEORE1,0,Azure
2019-07,PYTHIA,0,Azure
2019-09,SISLAB,0,Azure
2019-07,GEORE1,4,Azure
2019-05,PYTHIA,0,Azure
2019-02,SISLAB,2,Azure
2019-05,SISLAB,1,Azure
2019-07,PYTHIA,0,Azure
2018-02,TMA,45569,Utilization
2019-03,INSIGHTSRE,8353,Utilization
2017-12,TMA,1222,Utilization
2019-08,SISLAB,170,Group Technology Management
2019-01,DNA,170,Group Technology Management
2019-09,SAMS,61,Group Technology Management
2019-01,INSIGHTSRE,4266,Swisscom
2019-08,INSIGHTSRE,35,Swisscom
2019-03,DATAROBOT,6,Swisscom
2019-08,SAMS,117,Group Technology Management
2019-08,OCR,92,Group Technology Management
2019-07,GEORE1,170,Group Technology Management
2019-05,TMA,1871,Group Technology Management
2019-04,DSW,6777,Group Technology Management
2019-01,TMA,11341,Swisscom
2019-02,TMA,9694,Swisscom
2019-07,INSIGHTSRE,7844,Swisscom
2019-09,GEORE1,13,Azure
2019-05,SISLAB,0,Azure
2019-01,SISLAB,23,Azure
2019-05,SISLAB,0,Azure
2019-07,SISLAB,0,Azure
2019-07,SISLAB,8,Azure
2019-09,SISLAB,4,Azure
2019-02,DOCSEARCH,19966,Utilization
2017-10,TMA,4087,Utilization
2018-03,OCR,7064,Utilization
2018-06,TMA,1226,Utilization
2019-06,INSIGHTSRE,20959,Utilization
2017-10,OCR,4026,Utilization
2019-07,TMA,2717,Utilization
2018-03,DSW,0,Utilization
2018-08,INSIGHTSRE,409,Utilization
2019-02,TMA,101,Swisscom
2019-01,DSW,62,Swisscom
2019-03,DSC,1,Swisscom
2019-05,SISLAB,145,Azure
2019-01,SISLAB,10,Azure
2019-05,TMA,0,Azure
2019-04,SISLAB,5,Azure
2019-09,DATAROBOT,411,Group Technology Management
2019-03,SISLAB,710,Group Technology Management
2019-04,SISLAB,170,Group Technology Management
2019-05,DSW,170,Group Technology Management
2019-08,TMA,170,Group Technology Management
2019-07,OCR,292,Group Technology Management
2019-07,INSIGHTSRE,45,Group Technology Management
2019-09,GEORE1,0,Azure
2019-08,SISLAB,2,Azure
2019-08,GEORE1,0,Azure
2019-02,PYTHIA,0,Azure
2019-07,SISLAB,21,Azure
2019-03,SAMS,117,Group Technology Management
2019-04,INSIGHTSRE,170,Group Technology Management
2019-03,GEORE1,170,Group Technology Management
2019-07,INSIGHTSRE,13800,Swisscom
2019-07,DATAROBOT,462,Swisscom
2019-04,INSIGHTSRE,432,Swisscom
2019-08,DATAROBOT,589,Swisscom
2019-01,DSC,2531,Swisscom
2019-02,DSW,529,Swisscom
2019-06,PYTHIA,34,Swisscom
2018-09,INSIGHTSRE,7812,Utilization
2018-05,PYTHIA,4888,Utilization
2018-08,INSIGHTSRE,7431,Utilization
2017-03,SAMS,6602,Utilization
2017-01,DOCSEARCH,817,Utilization
2019-01,DNA,1671,Utilization
2019-03,VISREPBOXI,2146,Group Technology Management
2019-06,SAMS,117,Group Technology Management
2019-03,OCR,170,Group Technology Management
2019-03,OCR,170,Group Technology Management
2019-09,INSIGHTSRE,170,Group Technology Management
2019-01,SAMS,550,Group Technology Management
2019-06,SISLAB,0,Azure
2019-03,SISLAB,0,Azure
2019-01,GEORE1,9,Azure
2019-05,SISLAB,0,Azure
2019-08,SISLAB,0,Azure
2019-01,LHTI,293,Swisscom
2019-05,PYTHIA,79,Swisscom
2019-03,DSW,1518,Swisscom
2019-03,DSW,472,Swisscom
2019-07,SISLAB,3,Azure
2019-01,SISLAB,34,Azure
2019-05,SISLAB,0,Azure
2019-05,GEORE1,0,Azure
2019-03,GEORE1,1,Azure
2018-09,DOCSEARCH,18517,Utilization
2019-01,SAMS,12,Swisscom
2019-05,SISLAB,22,Swisscom
2019-09,DSW,16,Swisscom
2019-06,PYTHIA,6,Swisscom
2019-08,DSW,1608,Swisscom
2019-02,DSC,1466,Group Technology Management
2019-07,DOCSEARCH,170,Group Technology Management
2019-05,DOCPROXY,170,Group Technology Management
2019-04,OCR,170,Group Technology Management
2019-01,TMA,170,Group Technology Management
2019-04,SISLAB,170,Group Technology Management
2019-05,GEORE1,170,Group Technology Management
2019-03,OCR,880,Group Technology Management
2019-06,VISREPBOXI,2146,Group Technology Management
2019-06,INSIGHTSRE,4838,Swisscom
2019-03,INSIGHTSRE,5006,Swisscom
2019-05,DSC,3,Swisscom
2019-06,DSW,31,Swisscom
2019-02,SISLAB,17,Swisscom
2017-03,DSW,978,Utilization
2017-07,TMA,2639,Utilization
2019-02,INSIGHTSRE,1703,Utilization
2018-11,PYTHIA,244,Utilization
2019-06,SISLAB,2,Azure
2019-06,SISLAB,0,Azure
2019-05,SISLAB,478,Azure
2019-03,SISLAB,19,Azure
2019-09,GEORE1,58,Azure
2019-08,SISLAB,20,Azure
2019-09,SISLAB,170,Group Technology Management
2019-06,DOCPROXY,187,Group Technology Management
2019-07,DOCPROXY,187,Group Technology Management
2019-06,SISLAB,8850,Group Technology Management
2019-02,GEORE1,4,Azure
2019-03,SISLAB,9,Azure
2019-01,PYTHIA,20,Azure
2019-06,SISLAB,2,Azure
2019-09,SISLAB,1,Azure
2019-03,GEORE1,0,Azure
2019-07,PYTHIA,0,Azure
2019-07,TMA,0,Azure
2019-01,SISLAB,219,Azure
2019-08,TMA,419,Swisscom
2019-04,TMA,467,Swisscom
2019-02,PYTHIA,134,Swisscom
2019-08,TMA,29,Swisscom
2019-07,TMA,240,Swisscom
2019-03,INSIGHTSRE,1,Swisscom
2019-07,DOCPROXY,170,Group Technology Management
2019-07,INSIGHTSRE,170,Group Technology Management
2019-09,GEORE1,170,Group Technology Management
2019-03,DSC,1466,Group Technology Management
2019-07,INSIGHTSRE,170,Group Technology Management
2019-05,GEORE1,170,Group Technology Management
2019-04,SISLAB,170,Group Technology Management
2019-08,SISLAB,27,Group Technology Management
2017-11,OCR,9238,Utilization
2018-03,DNA,835,Utilization
2019-07,PYTHIA,0,Azure
2019-02,SISLAB,0,Azure
2019-08,SISLAB,22,Azure
2019-08,GEORE1,0,Azure
2019-04,SISLAB,1,Azure
2019-07,SISLAB,15,Azure
2019-09,GEORE1,0,Azure
2019-02,DSW,115,Swisscom
2019-01,INSIGHTSRE,1951,Swisscom
2019-02,TMA,6,Swisscom
2019-01,DSW,33,Swisscom
2019-04,SISLAB,18492,Group Technology Management
2019-04,PYTHIA,710,Group Technology Management
2019-05,PYTHIA,170,Group Technology Management
2019-06,DSW,9241,Group Technology Management
2018-11,INSIGHTSRE,23536,Utilization
2018-03,DOCSEARCH,0,Utilization
2019-08,GEORE1,290,Azure
2019-01,GEORE1,24,Azure
2019-05,SISLAB,0,Azure
2019-07,SISLAB,15,Swisscom
2019-08,TMA,48,Swisscom
2019-05,SISLAB,6,Swisscom
2017-12,DSW,26112,Utilization
2018-06,DSW,7241,Utilization
2018-06,DOCSEARCH,817,Utilization
2019-07,DNA,1671,Utilization
2017-06,DSW,1671,Utilization
2018-06,PYTHIA,489,Utilization
2019-08,OCR,944,Group Technology Management
2019-05,TMA,170,Group Technology Management
2019-06,DNA,170,Group Technology Management
2019-06,SISLAB,170,Group Technology Management
2019-02,PYTHIA,170,Group Technology Management
2019-09,GEORE1,170,Group Technology Management
2019-03,VISREPBOXI,0,Group Technology Management
2019-03,PYTHIA,1113,Group Technology Management
2019-02,INSIGHTSRE,45,Group Technology Management
2019-03,GEORE1,0,Azure
2019-03,SISLAB,0,Azure
2019-07,SISLAB,0,Azure
2019-03,SISLAB,0,Azure
2019-01,OCR,709,Swisscom
2019-01,SISLAB,475,Swisscom
2019-02,SAMS,17,Swisscom
2019-07,LHTI,55,Group Technology Management
2019-01,SAMS,170,Group Technology Management
2019-02,OCR,841,Group Technology Management
2019-08,DSW,8354,Group Technology Management
2019-03,SISLAB,0,Azure
2019-03,SISLAB,0,Azure
2019-07,SISLAB,58,Azure
2019-07,TMA,4,Azure
2019-09,PYTHIA,0,Azure
2017-01,DOCSEARCH,21255,Utilization
2018-01,DOCSEARCH,19322,Utilization
2019-01,TMA,158,Swisscom
2019-03,SISLAB,5308,Swisscom
2019-07,DSC,2724,Swisscom
2019-03,TMA,10576,Swisscom
2019-02,BCHART,49,Swisscom
2019-06,DSW,1220,Swisscom
2019-03,PYTHIA,853,Swisscom
2019-03,TMA,149,Swisscom
2019-07,SISLAB,5813,Swisscom
2019-09,DATAROBOT,18,Swisscom
2019-05,DATAROBOT,470,Swisscom
2019-08,SISLAB,6,Swisscom
2019-05,DSW,1857,Swisscom
2019-03,SISLAB,0,Azure
2019-06,PYTHIA,0,Azure
2019-02,GEORE1,0,Azure
2017-03,DNA,0,Utilization
2019-03,DSW,2933,Utilization
2018-03,INSIGHTSRE,21725,Utilization
2018-05,TMA,2452,Utilization
2018-03,INSIGHTSRE,5012,Utilization
2019-08,TMA,1411,Group Technology Management
2019-09,INSIGHTSRE,1125,Group Technology Management
2019-02,OCR,170,Group Technology Management
2019-03,DSW,170,Group Technology Management
2019-01,SAMS,170,Group Technology Management
2019-03,SISLAB,27,Group Technology Management
2019-01,SISLAB,4129,Group Technology Management
2018-09,PYTHIA,9908,Utilization
2017-10,DNA,13468,Utilization
2018-07,PYTHIA,8860,Utilization
2017-10,DSW,12530,Utilization
2017-06,DOCSEARCH,2717,Utilization
2018-04,DOCSEARCH,817,Utilization
2018-10,DOCSEARCH,0,Utilization
2019-01,GEORE1,7,Azure
2019-04,SISLAB,0,Azure
2019-04,SISLAB,0,Azure
2019-06,SISLAB,0,Azure
2019-06,SISLAB,56,Azure
2019-01,SISLAB,145,Azure
2019-05,WATSONEXP,170,Group Technology Management
2019-07,GEORE1,170,Group Technology Management
2019-08,SFILE,24,Group Technology Management
2019-08,SAMS,21,Swisscom
2019-07,DATAROBOT,593,Swisscom
2019-06,INSIGHTSRE,24,Swisscom
2019-08,SAMS,16,Swisscom
2019-09,INSIGHTSRE,36,Swisscom
2019-06,DSC,57,Swisscom
2019-05,TMA,0,Swisscom
2019-04,DNA,170,Group Technology Management
2019-03,DSW,170,Group Technology Management
2019-08,GEORE1,21,Azure
2019-03,SISLAB,1,Azure
2019-09,SISLAB,0,Azure
2019-03,TMA,0,Azure
2019-09,PYTHIA,0,Azure
2019-08,SISLAB,14,Azure
2019-05,SISLAB,0,Azure
2019-02,SISLAB,21,Azure
2018-12,TMA,6692,Utilization
2017-04,OCR,6119,Utilization
2018-09,DOCSEARCH,817,Utilization
2019-04,DOCPROXY,170,Group Technology Management
2019-06,SISLAB,170,Group Technology Management
2019-07,OCR,170,Group Technology Management
2018-06,TMA,2639,Utilization
2019-02,SAMS,21,Swisscom
2019-09,DSW,674,Swisscom
2019-07,TMA,52,Swisscom
2019-01,SISLAB,25,Azure
2019-04,SISLAB,1,Azure
2019-01,GEORE1,0,Azure
2019-01,SISLAB,6,Azure
2019-08,SISLAB,0,Azure
2019-01,SISLAB,4,Azure
2019-01,SISLAB,0,Azure
2019-02,GEORE1,10,Azure
2019-05,SISLAB,0,Azure
2019-06,SISLAB,0,Azure
2019-05,DOCPROXY,994,Swisscom
2019-02,DSW,2196,Swisscom
2019-09,SISLAB,17,Swisscom
2019-03,SISLAB,5,Swisscom
2019-05,PYTHIA,35,Swisscom
2019-06,TMA,20,Swisscom
2019-06,TMA,247,Swisscom
2019-06,SISLAB,7214,Group Technology Management
2019-01,SFILE,710,Group Technology Management
2019-02,SAMS,170,Group Technology Management
2019-07,DOCSEARCH,550,Group Technology Management
2017-09,OCR,9781,Utilization
2018-06,DSW,2933,Utilization
2018-10,INSIGHTSRE,2933,Utilization
2018-07,DNA,3341,Utilization
2019-01,TMA,160,Group Technology Management
2019-08,DOCSEARCH,170,Group Technology Management
2019-05,DOCSEARCH,170,Group Technology Management
2019-07,DOCSEARCH,170,Group Technology Management
2019-03,DSC,1,Group Technology Management
2019-04,DSC,1,Group Technology Management
2019-03,INSIGHTSRE,45,Group Technology Management
2019-08,SISLAB,0,Azure
2019-04,SISLAB,21,Azure
2019-01,GEORE1,0,Azure
2019-03,SISLAB,0,Azure
2019-01,SISLAB,0,Azure
2019-06,PYTHIA,0,Azure
2019-05,SISLAB,84,Azure
2017-03,SAMS,204,Utilization
2018-04,SAMS,644,Utilization
2019-09,DSW,26,Swisscom
2019-07,DATAROBOT,551,Swisscom
2019-09,DOCSEARCH,19322,Utilization
2018-06,PYTHIA,2933,Utilization
2019-03,INSIGHTSRE,3260,Utilization
2018-11,TMA,2639,Utilization
2017-01,SAMS,204,Utilization
2019-07,DATAROBOT,170,Group Technology Management
2019-04,SAMS,77,Group Technology Management
2019-07,SISLAB,0,Azure
2019-03,SISLAB,18,Azure
2019-04,PYTHIA,19,Azure
2019-09,SISLAB,12,Azure
2019-09,PYTHIA,0,Azure
2019-03,SISLAB,33,Azure
2019-02,PYTHIA,25,Swisscom
